filename,pass_fail,num_attempts,num_llm_queries
instance-124.pddl,True,2,2
instance-312.pddl,True,1,0
instance-362.pddl,True,1,0
instance-223.pddl,True,1,0
instance-79.pddl,True,1,0
instance-426.pddl,True,1,0
instance-273.pddl,True,1,0
instance-41.pddl,True,1,0
instance-5.pddl,True,1,0
instance-170.pddl,True,1,0
instance-74.pddl,True,1,0
instance-219.pddl,True,1,0
instance-444.pddl,True,1,0
instance-64.pddl,True,1,0
instance-236.pddl,True,1,0
instance-176.pddl,True,1,0
instance-203.pddl,True,1,0
instance-407.pddl,True,1,0
instance-297.pddl,True,1,0
instance-433.pddl,True,1,0
instance-391.pddl,True,1,0
instance-306.pddl,True,1,0
instance-232.pddl,True,1,0
instance-451.pddl,True,1,0
instance-48.pddl,True,1,0
instance-42.pddl,True,1,0
instance-115.pddl,True,1,0
instance-35.pddl,True,1,0
instance-140.pddl,True,1,0
instance-184.pddl,True,1,0
